subject,enroll_emotion_id,test_emotion_id,enroll_emotion,test_emotion,n_enroll,n_test,within_sim,cross_sim,drift_index
6,4,4,Happy,Happy,686,489,0.9657731652259827,0.033574871718883514,0.9652352333068848
7,0,0,Disgust,Disgust,779,428,0.9465696215629578,0.9553007483482361,-0.00922393798828125
7,0,1,Disgust,Fear,779,550,0.9465696215629578,0.9424135088920593,0.004390716552734375
7,0,2,Disgust,Sad,779,676,0.9465696215629578,0.9510919451713562,-0.00477755069732666
7,0,3,Disgust,Neutral,779,525,0.9465696215629578,0.9451910853385925,0.0014563202857971191
7,0,4,Disgust,Happy,779,489,0.9465696215629578,0.9457979202270508,0.000815272331237793
7,1,0,Fear,Disgust,914,428,0.9454433917999268,0.9558752775192261,-0.011033892631530762
7,1,1,Fear,Fear,914,550,0.9454433917999268,0.9427082538604736,0.0028929710388183594
7,1,2,Fear,Sad,914,676,0.9454433917999268,0.9515160322189331,-0.0064231157302856445
7,1,3,Fear,Neutral,914,525,0.9454433917999268,0.9455430507659912,-0.00010538101196289062
7,1,4,Fear,Happy,914,489,0.9454433917999268,0.9468108415603638,-0.001446366310119629
7,2,0,Sad,Disgust,1199,428,0.9455472826957703,0.9557644724845886,-0.010805606842041016
7,2,1,Sad,Fear,1199,550,0.9455472826957703,0.9428087472915649,0.002896249294281006
7,2,2,Sad,Sad,1199,676,0.9455472826957703,0.9516192674636841,-0.006421685218811035
7,2,3,Sad,Neutral,1199,525,0.9455472826957703,0.9455888867378235,-4.398822784423828e-05
7,2,4,Sad,Happy,1199,489,0.9455472826957703,0.9471035003662109,-0.001645803451538086
7,3,0,Neutral,Disgust,908,428,0.9457550644874573,0.9559673070907593,-0.010797977447509766
7,3,1,Neutral,Fear,908,550,0.9457550644874573,0.9423369765281677,0.0036141276359558105
7,3,2,Neutral,Sad,908,676,0.9457550644874573,0.9514705538749695,-0.0060433149337768555
7,3,3,Neutral,Neutral,908,525,0.9457550644874573,0.9458053708076477,-5.316734313964844e-05
7,3,4,Neutral,Happy,908,489,0.9457550644874573,0.9470779299736023,-0.0013986825942993164
7,4,0,Happy,Disgust,666,428,0.9453766942024231,0.9551920294761658,-0.010382413864135742
7,4,1,Happy,Fear,666,550,0.9453766942024231,0.9420623779296875,0.0035058259963989258
7,4,2,Happy,Sad,666,676,0.9453766942024231,0.9509029388427734,-0.005845546722412109
7,4,3,Happy,Neutral,666,525,0.9453766942024231,0.9448269605636597,0.0005815029144287109
7,4,4,Happy,Happy,666,489,0.9453766942024231,0.9460051655769348,-0.000664830207824707
8,0,0,Disgust,Disgust,770,428,0.9617975354194641,0.9618401527404785,-4.4345855712890625e-05
8,0,1,Disgust,Fear,770,550,0.9617975354194641,0.9825773239135742,-0.02160513401031494
8,0,2,Disgust,Sad,770,676,0.9617975354194641,0.977548360824585,-0.016376495361328125
8,0,3,Disgust,Neutral,770,525,0.9617975354194641,0.9826478958129883,-0.021678566932678223
8,0,4,Disgust,Happy,770,489,0.9617975354194641,0.9777439832687378,-0.016579866409301758
8,1,0,Fear,Disgust,948,428,0.9612956047058105,0.9617729783058167,-0.0004966259002685547
8,1,1,Fear,Fear,948,550,0.9612956047058105,0.9823685884475708,-0.021921396255493164
8,1,2,Fear,Sad,948,676,0.9612956047058105,0.9775989055633545,-0.016959667205810547
8,1,3,Fear,Neutral,948,525,0.9612956047058105,0.9823516607284546,-0.0219038724899292
8,1,4,Fear,Happy,948,489,0.9612956047058105,0.9780316352844238,-0.017409920692443848
8,2,0,Sad,Disgust,1153,428,0.9626820683479309,0.9616350531578064,0.0010876059532165527
8,2,1,Sad,Fear,1153,550,0.9626820683479309,0.9823530912399292,-0.020433545112609863
8,2,2,Sad,Sad,1153,676,0.9626820683479309,0.9776782989501953,-0.015577554702758789
8,2,3,Sad,Neutral,1153,525,0.9626820683479309,0.9823546409606934,-0.020435214042663574
8,2,4,Sad,Happy,1153,489,0.9626820683479309,0.9777796864509583,-0.01568281650543213
8,3,0,Neutral,Disgust,895,428,0.9629985690116882,0.9622884392738342,0.0007374286651611328
8,3,1,Neutral,Fear,895,550,0.9629985690116882,0.9825509786605835,-0.020303726196289062
8,3,2,Neutral,Sad,895,676,0.9629985690116882,0.9778882265090942,-0.01546180248260498
8,3,3,Neutral,Neutral,895,525,0.9629985690116882,0.9824592471122742,-0.02020847797393799
8,3,4,Neutral,Happy,895,489,0.9629985690116882,0.9780436158180237,-0.015623092651367188
8,4,0,Happy,Disgust,700,428,0.9626665711402893,0.962148129940033,0.0005385279655456543
8,4,1,Happy,Fear,700,550,0.9626665711402893,0.9827237129211426,-0.020835041999816895
8,4,2,Happy,Sad,700,676,0.9626665711402893,0.9775938987731934,-0.015506267547607422
8,4,3,Happy,Neutral,700,525,0.9626665711402893,0.9824924468994141,-0.02059471607208252
8,4,4,Happy,Happy,700,489,0.9626665711402893,0.9779017567634583,-0.015825986862182617
9,0,0,Disgust,Disgust,770,428,0.9433595538139343,0.9741178750991821,-0.03260505199432373
9,0,1,Disgust,Fear,770,550,0.9433595538139343,0.86176598072052,0.08649253845214844
9,0,2,Disgust,Sad,770,676,0.9433595538139343,0.9429543614387512,0.00042951107025146484
9,0,3,Disgust,Neutral,770,525,0.9433595538139343,0.9405920505523682,0.002933681011199951
9,0,4,Disgust,Happy,770,489,0.9433595538139343,0.9370121359825134,0.006728529930114746
9,1,0,Fear,Disgust,908,428,0.942958414554596,0.974790096282959,-0.03375720977783203
9,1,1,Fear,Fear,908,550,0.942958414554596,0.8644603490829468,0.08324658870697021
9,1,2,Fear,Sad,908,676,0.942958414554596,0.9448487758636475,-0.0020047426223754883
9,1,3,Fear,Neutral,908,525,0.942958414554596,0.9423962831497192,0.000596165657043457
9,1,4,Fear,Happy,908,489,0.942958414554596,0.9386845827102661,0.004532337188720703
9,2,0,Sad,Disgust,1202,428,0.9419812560081482,0.9743723273277283,-0.03438615798950195
9,2,1,Sad,Fear,1202,550,0.9419812560081482,0.8638544678688049,0.0829387903213501
9,2,2,Sad,Sad,1202,676,0.9419812560081482,0.9435266256332397,-0.0016405582427978516
9,2,3,Sad,Neutral,1202,525,0.9419812560081482,0.941908597946167,7.712841033935547e-05
9,2,4,Sad,Happy,1202,489,0.9419812560081482,0.9381285905838013,0.004089951515197754
9,3,0,Neutral,Disgust,895,428,0.9434841871261597,0.9754725694656372,-0.0339045524597168
9,3,1,Neutral,Fear,895,550,0.9434841871261597,0.8657033443450928,0.08244001865386963
9,3,2,Neutral,Sad,895,676,0.9434841871261597,0.9456067681312561,-0.0022497177124023438
9,3,3,Neutral,Neutral,895,525,0.9434841871261597,0.9432607889175415,0.00023680925369262695
9,3,4,Neutral,Happy,895,489,0.9434841871261597,0.9397584795951843,0.003948867321014404
9,4,0,Happy,Disgust,691,428,0.9414249658584595,0.974534809589386,-0.03516995906829834
9,4,1,Happy,Fear,691,550,0.9414249658584595,0.8645904064178467,0.081615149974823
9,4,2,Happy,Sad,691,676,0.9414249658584595,0.9444146752357483,-0.0031757354736328125
9,4,3,Happy,Neutral,691,525,0.9414249658584595,0.9424712657928467,-0.0011113882064819336
9,4,4,Happy,Happy,691,489,0.9414249658584595,0.9385099411010742,0.0030964016914367676
10,0,0,Disgust,Disgust,772,428,0.9595406651496887,0.8904800415039062,0.07197260856628418
10,0,1,Disgust,Fear,772,550,0.9595406651496887,0.9115344285964966,0.050030410289764404
10,0,2,Disgust,Sad,772,676,0.9595406651496887,0.930579662322998,0.0301821231842041
10,0,3,Disgust,Neutral,772,525,0.9595406651496887,0.8959529399871826,0.0662689208984375
10,0,4,Disgust,Happy,772,489,0.9595406651496887,0.8901844024658203,0.07228070497512817
10,1,0,Fear,Disgust,876,428,0.9589199423789978,0.8898769617080688,0.07200080156326294
10,1,1,Fear,Fear,876,550,0.9589199423789978,0.9110010862350464,0.049971699714660645
10,1,2,Fear,Sad,876,676,0.9589199423789978,0.9295309782028198,0.030647993087768555
10,1,3,Fear,Neutral,876,525,0.9589199423789978,0.8956961631774902,0.0659322738647461
10,1,4,Fear,Happy,876,489,0.9589199423789978,0.8897240161895752,0.07216030359268188
10,2,0,Sad,Disgust,1211,428,0.9585428833961487,0.8892594575881958,0.0722799301147461
10,2,1,Sad,Fear,1211,550,0.9585428833961487,0.9103027582168579,0.050326526165008545
10,2,2,Sad,Sad,1211,676,0.9585428833961487,0.9294028282165527,0.030400395393371582
10,2,3,Sad,Neutral,1211,525,0.9585428833961487,0.8956118822097778,0.06565278768539429
10,2,4,Sad,Happy,1211,489,0.9585428833961487,0.8893787264823914,0.07215553522109985
10,3,0,Neutral,Disgust,925,428,0.9590414762496948,0.8914675712585449,0.07045984268188477
10,3,1,Neutral,Fear,925,550,0.9590414762496948,0.9122264385223389,0.04881441593170166
10,3,2,Neutral,Sad,925,676,0.9590414762496948,0.9310163259506226,0.029222071170806885
10,3,3,Neutral,Neutral,925,525,0.9590414762496948,0.897210955619812,0.06447118520736694
10,3,4,Neutral,Happy,925,489,0.9590414762496948,0.8914388418197632,0.07048976421356201
10,4,0,Happy,Disgust,682,428,0.9598690867424011,0.8882436752319336,0.07462000846862793
10,4,1,Happy,Fear,682,550,0.9598690867424011,0.9106654524803162,0.05126076936721802
10,4,2,Happy,Sad,682,676,0.9598690867424011,0.9296070337295532,0.03152728080749512
10,4,3,Happy,Neutral,682,525,0.9598690867424011,0.8948805332183838,0.06770563125610352
10,4,4,Happy,Happy,682,489,0.9598690867424011,0.8881429433822632,0.07472491264343262
11,0,0,Disgust,Disgust,783,428,0.9837616682052612,0.8717347979545593,0.11387604475021362
11,0,1,Disgust,Fear,783,550,0.9837616682052612,0.8778079748153687,0.10770261287689209
11,0,2,Disgust,Sad,783,676,0.9837616682052612,0.8445736765861511,0.14148545265197754
11,0,3,Disgust,Neutral,783,525,0.9837616682052612,0.8376574516296387,0.14851588010787964
11,0,4,Disgust,Happy,783,489,0.9837616682052612,0.8758984804153442,0.10964363813400269
11,1,0,Fear,Disgust,899,428,0.9834072589874268,0.8727880716323853,0.11248564720153809
11,1,1,Fear,Fear,899,550,0.9834072589874268,0.8786352276802063,0.10653984546661377
11,1,2,Fear,Sad,899,676,0.9834072589874268,0.8462166786193848,0.13950538635253906
11,1,3,Fear,Neutral,899,525,0.9834072589874268,0.8387241363525391,0.1471242904663086
11,1,4,Fear,Happy,899,489,0.9834072589874268,0.8769117593765259,0.1082923412322998
11,2,0,Sad,Disgust,1180,428,0.9835546612739563,0.8721530437469482,0.11326426267623901
11,2,1,Sad,Fear,1180,550,0.9835546612739563,0.8783092498779297,0.10700511932373047
11,2,2,Sad,Sad,1180,676,0.9835546612739563,0.8453176617622375,0.14054834842681885
11,2,3,Sad,Neutral,1180,525,0.9835546612739563,0.8384473919868469,0.14753353595733643
11,2,4,Sad,Happy,1180,489,0.9835546612739563,0.8764609098434448,0.10888439416885376
11,3,0,Neutral,Disgust,915,428,0.9840995669364929,0.8709885478019714,0.11493861675262451
11,3,1,Neutral,Fear,915,550,0.9840995669364929,0.8769746422767639,0.10885578393936157
11,3,2,Neutral,Sad,915,676,0.9840995669364929,0.8441973924636841,0.14216262102127075
11,3,3,Neutral,Neutral,915,525,0.9840995669364929,0.8370572924613953,0.14941811561584473
11,3,4,Neutral,Happy,915,489,0.9840995669364929,0.8750838041305542,0.11077713966369629
11,4,0,Happy,Disgust,689,428,0.9842244386672974,0.8724774122238159,0.11353814601898193
11,4,1,Happy,Fear,689,550,0.9842244386672974,0.8784035444259644,0.1075170636177063
