subject,session_changed,emotion_changed,EER
2,0,1,0.2033333333333333
3,0,1,0.2131455399061033
4,0,1,0.04413145539906106
5,0,1,0.35657894736842105
6,0,1,0.38285714285714284
7,0,1,0.2604444444444444
8,0,1,0.11916666666666667
9,0,1,0.07938596491228071
10,0,1,0.2975
11,0,1,0.15614035087719302
12,0,1,0.07594936708860758
13,0,1,0.37342995169082127
14,0,1,0.047311827956989225
15,0,1,0.2445945945945946
16,0,1,0.10000000000000003
1,0,1,0.15016835016835017
2,0,1,0.16164874551971326
3,0,1,0.20064102564102562
4,0,1,0.08293650793650795
5,0,1,0.24924242424242424
6,0,1,0.36217228464419476
7,0,1,0.10833333333333335
8,0,1,0.1724137931034483
9,0,1,0.02454212454212456
10,0,1,0.201498127340824
11,0,1,0.17568627450980395
12,0,1,0.003401360544217687
13,0,1,0.3509157509157509
14,0,1,0.0796296296296296
15,0,1,0.3628865979381444
16,0,1,0.15217391304347827
1,0,1,0.2301169590643275
2,0,1,0.21286089238845143
3,0,1,0.10416666666666666
4,0,1,0.04878048780487807
5,0,1,0.18508771929824563
6,0,1,0.30000000000000004
7,0,1,0.191025641025641
8,0,1,0.12367601246105919
9,0,1,0.08672566371681417
10,0,1,0.1996941896024465
11,0,1,0.12953216374269005
12,0,1,0.1713836477987421
13,0,1,0.254093567251462
14,0,1,0.04845938375350142
15,0,1,0.2881159420289855
16,0,1,0.06695402298850575
1,0,0,0.09818840579710145
2,0,0,0.17011494252873566
3,0,0,0.1833333333333333
4,0,0,0.04621212121212119
5,0,0,0.0862962962962963
6,0,0,0.3414893617021277
7,0,0,0.09649122807017542
8,0,0,0.18049645390070923
9,0,0,0.06858237547892722
10,0,0,0.2010989010989011
11,0,0,0.17362637362637365
12,0,0,0.008812260536398461
13,0,0,0.30272108843537415
14,0,0,0.08549019607843139
15,0,0,0.2621527777777778
16,0,0,0.06007326007326009
1,0,1,0.1878378378378378
2,0,1,0.21936936936936938
3,0,1,0.3003584229390681
4,0,1,0.07960784313725491
5,0,1,0.1172690763052209
6,0,1,0.3738636363636364
7,0,1,0.10666666666666665
8,0,1,0.2751004016064257
9,0,1,0.10317460317460314
10,0,1,0.16056910569105692
11,0,1,0.19411764705882353
12,0,1,0.01440329218106996
13,0,1,0.3021097046413502
14,0,1,0.03402777777777778
15,0,1,0.2661904761904762
16,0,1,0.13974358974358977
1,1,1,0.1930555555555556
2,1,1,0.1908239700374532
3,1,1,0.2001763668430335
4,1,1,0.10483870967741937
5,1,1,0.4135658914728682
6,1,1,0.3340277777777778
7,1,1,0.7047325102880658
8,1,1,0.14058823529411768
9,1,1,0.0744186046511628
10,1,1,0.39481481481481484
11,1,1,0.2447105788423154
12,1,1,0.05706806282722514
13,1,1,0.39885714285714285
14,1,1,0.07164948453608246
15,1,1,0.3131531531531532
16,1,1,0.07759259259259257
1,1,1,0.17816091954022986
2,1,1,0.1803030303030303
3,1,1,0.16371308016877636
4,1,1,0.05939393939393937
5,1,1,0.23293413173652694
6,1,1,0.380168776371308
7,1,1,0.6993464052287581
8,1,1,0.17127882599580713
9,1,1,0.08399122807017544
10,1,1,0.2307539682539682
11,1,1,0.2185897435897436
